rank,utc,first_ts_us,last_ts_us,span_s,src,dst,service,dport,seg_src,seg_dst,n_flows,n_labelled_malicious,n_labelled_malicious_group,evalue,alerted_by_eLOND,alerted_by_ADDIS,label_says,E1_confirmed_compromise_host,E1_steps_within_15min,E1_sec_to_nearest_step,E2_src_is_attack_source,E2_dst_is_attack_target,E2_service_carries_attack,verdict,reason,human_verdict,human_notes
3,2023-03-09 13:17:44,1678367864266843,1678369662364593,1798.0977499485016,10.5.8.32,185.20.59.250,TLS,443,baf_int,,20777,20777,28306,1807354.4811089186,True,True,malicious,True,11,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
6,2023-03-09 13:17:44,1678367864271487,1678370399978448,2535.706960916519,10.5.1.23,185.20.59.250,TLS,443,beg_int,,32509,32509,64033,1805138.5069980621,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
7,2023-03-09 13:17:44,1678367864271601,1678370399940418,2535.6688170433044,10.5.8.5,100.101.1.193,Http,80,baf_int,,58163,58163,152092,890019.7344359816,True,True,malicious,True,12,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
8,2023-03-09 13:17:44,1678367864276768,1678370399956033,2535.679265022278,10.5.8.4,100.101.1.193,Http,80,baf_int,,63891,63891,154362,875951.0703855003,True,True,malicious,True,12,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
12,2023-03-09 13:17:44,1678367864307159,1678370399932773,2535.6256141662598,10.5.12.12,57.70.176.80,,80,baf_bg,,24388,24388,70121,1804638.7254387403,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
16,2023-03-09 13:17:44,1678367864327679,1678370399971414,2535.6437351703644,10.5.8.2,100.101.1.193,Http,80,baf_int,,72229,72229,168487,875769.0295033851,True,True,malicious,True,12,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
18,2023-03-09 13:17:44,1678367864339960,1678370399961423,2535.6214628219604,10.5.1.21,185.20.59.250,TLS,443,beg_int,,29431,29431,83741,1807939.1307804696,True,True,malicious,True,12,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
20,2023-03-09 13:17:44,1678367864345160,1678370399957920,2535.612760066986,10.5.1.27,185.20.59.250,TLS,443,beg_int,,28673,28673,81164,1800150.9905485997,True,True,malicious,True,12,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
29,2023-03-09 13:17:44,1678367864465874,1678370369256907,2504.7910330295563,100.101.0.115,10.5.8.35,,50661,,baf_int,104,104,290,1813114.0,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
37,2023-03-09 13:17:44,1678367864579005,1678370368261645,2503.6826400756836,100.101.0.115,10.5.1.27,,60804,,beg_int,62,62,173,1813114.0,True,True,malicious,True,12,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
40,2023-03-09 13:17:44,1678367864609783,1678370399805361,2535.195578098297,10.5.1.2,185.20.59.250,TLS,443,beg_int,,2716,2716,7721,1797092.3740795287,True,True,malicious,True,12,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
43,2023-03-09 13:17:44,1678367864685168,1678370384498289,2519.8131210803986,100.99.5.133,212.23.216.83,TLS,443,,,79,79,223,1813114.0,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
62,2023-03-09 13:17:44,1678367864874142,1678370365979762,2501.1056201457977,100.101.0.115,10.5.8.40,,57956,,baf_int,21,21,58,1813114.0,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
65,2023-03-09 13:17:44,1678367864904378,1678370395932704,2531.028326034546,10.5.8.5,57.70.176.80,,80,baf_int,,267,267,757,1806323.3108614231,True,True,malicious,True,12,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
70,2023-03-09 13:17:44,1678367864933015,1678370398920606,2533.987590789795,2a07:1182:0005:1001:0000:0000:0000:0007,2a00:16e0:0100:0000:c16d:8ed9:e86a:1111,TLS,443,baf_int,,267,267,755,937115.1011235955,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
