row_in_window,utc,ts_us,src,dst,sport,dport,proto_l3l4,conn,service,seg_src,seg_dst,ext_src,ext_dst,score,score_minus_cal_max,sec_to_nearest_malicious_flow
53625,2023-03-09 13:20:15,1678368015907902,2a07:1182:0005:0001:0000:0000:0000:0002,2a07:1182:0101:0000:0000:0000:0000:0089,56373,443,0,OTH,TLS,beg_int,,0,1,8.178216,1.722635,0.0
1748988,2023-03-09 14:48:11,1678373291467031,10.5.1.2,100.96.5.5,389,37520,0,OTH,,beg_int,beg_dmz,0,0,8.023828,1.568246,0.0
1948246,2023-03-09 15:00:11,1678374011615317,100.96.5.5,10.5.1.3,37467,3268,0,OTH,,beg_dmz,beg_int,0,0,7.207226,0.751644,0.0
2002188,2023-03-09 15:13:49,1678374829157793,10.5.1.3,100.101.1.32,54117,443,0,SF,TLS,beg_int,,0,1,6.552344,0.096763,0.0
2018804,2023-03-09 15:14:46,1678374886623455,10.5.1.3,100.101.1.32,54148,443,0,SF,TLS,beg_int,,0,1,6.703657,0.248075,0.0
2024563,2023-03-09 15:15:06,1678374906160701,10.5.1.3,100.101.1.32,54164,443,0,SF,TLS,beg_int,,0,1,6.695397,0.239815,0.0
2050952,2023-03-09 15:16:41,1678375001670772,10.5.1.3,100.101.1.32,54216,443,0,SF,TLS,beg_int,,0,1,6.618282,0.162700,0.0
2062059,2023-03-09 15:17:19,1678375039791276,10.5.1.3,100.101.1.32,54237,443,0,SF,TLS,beg_int,,0,1,6.648566,0.192984,0.0
2143411,2023-03-09 15:22:09,1678375329299274,10.5.1.3,100.101.1.32,54403,443,0,SF,TLS,beg_int,,0,1,6.475229,0.019647,0.0
2210891,2023-03-09 15:26:12,1678375572665746,10.5.1.3,100.101.1.32,54550,443,0,SF,TLS,beg_int,,0,1,6.502033,0.046452,0.0
2218007,2023-03-09 15:26:40,1678375600495400,2a07:1182:0005:1001:0000:0000:0000:0005,2a07:1182:0101:0000:0000:0000:0000:0041,26900,443,0,OTH,TLS,baf_int,,0,1,6.677994,0.222412,0.0
2243087,2023-03-09 15:28:07,1678375687932225,2a07:1182:0005:1001:0000:0000:0000:0004,2a07:1182:0101:0000:0000:0000:0000:0032,52605,443,0,OTH,TLS,baf_int,,0,1,6.469785,0.014203,0.0
2255258,2023-03-09 15:28:54,1678375734958776,10.5.1.3,100.101.1.32,54642,443,0,SF,TLS,beg_int,,0,1,6.804571,0.348989,0.0
2283729,2023-03-09 15:30:32,1678375832277408,10.5.1.3,100.101.1.32,54701,443,0,SF,TLS,beg_int,,0,1,6.695397,0.239815,0.0
2331579,2023-03-09 15:33:25,1678376005475021,10.5.1.3,100.101.1.32,54802,443,0,SF,TLS,beg_int,,0,1,6.552344,0.096763,0.0
2337211,2023-03-09 15:33:44,1678376024039537,10.5.1.3,100.101.1.32,54813,443,0,SF,TLS,beg_int,,0,1,6.475229,0.019647,0.0
2380138,2023-03-09 15:36:17,1678376177230760,10.5.1.3,100.101.1.32,54897,443,0,SF,TLS,beg_int,,0,1,6.571451,0.115869,0.0
2409631,2023-03-09 15:38:10,1678376290396020,100.96.5.5,10.5.1.3,37405,3268,0,OTH,,beg_dmz,beg_int,0,0,7.188161,0.732579,0.0
2421736,2023-03-09 15:39:11,1678376351199539,10.5.1.3,100.101.1.32,55002,443,0,SF,TLS,beg_int,,0,1,6.552344,0.096763,0.0
2442127,2023-03-09 15:41:05,1678376465472066,10.5.1.3,100.101.1.32,55070,443,0,SF,TLS,beg_int,,0,1,6.648566,0.192984,0.0
2450708,2023-03-09 15:41:43,1678376503996255,10.5.1.3,100.101.1.32,55092,443,0,SF,TLS,beg_int,,0,1,6.648566,0.192984,0.0
2451264,2023-03-09 15:41:46,1678376506494186,10.5.1.2,100.101.1.24,51849,443,0,OTH,TLS,beg_int,,0,1,6.634183,0.178601,0.0
