episode_rank,first_ts_us,n_flows,n_labelled_malicious,episode_evalue,alerted_by_eLOND,alerted_by_ADDIS,label_says,analyst_verdict,notes
3,1678367864266843,20777,20777,1807354.5,1,1,malicious,,
6,1678367864271487,32509,32509,1805138.5,1,1,malicious,,
7,1678367864271601,58163,58163,890019.7,1,1,malicious,,
8,1678367864276768,63891,63891,875951.1,1,1,malicious,,
12,1678367864307159,24388,24388,1804638.7,1,1,malicious,,
16,1678367864327679,72229,72229,875769.0,1,1,malicious,,
18,1678367864339960,29431,29431,1807939.1,1,1,malicious,,
20,1678367864345160,28673,28673,1800151.0,1,1,malicious,,
29,1678367864465874,104,104,1813114.0,1,1,malicious,,
37,1678367864579005,62,62,1813114.0,1,1,malicious,,
40,1678367864609783,2716,2716,1797092.4,1,1,malicious,,
43,1678367864685168,79,79,1813114.0,1,1,malicious,,
62,1678367864874142,21,21,1813114.0,1,1,malicious,,
65,1678367864904378,267,267,1806323.3,1,1,malicious,,
70,1678367864933015,267,267,937115.1,1,1,malicious,,
78,1678367865059324,82,82,1813114.0,1,1,malicious,,
90,1678367865227467,188,188,1803469.8,1,1,malicious,,
112,1678367865488575,79,79,1790163.2,1,1,malicious,,
120,1678367865656721,41,41,1813114.0,1,1,malicious,,
166,1678367866120549,266,266,811129.9,1,1,malicious,,
195,1678367866816374,535,535,1796169.0,1,1,malicious,,
236,1678367867638159,267,267,1799532.6,1,1,malicious,,
250,1678367868060686,83,83,1813114.0,1,1,malicious,,
268,1678367868242113,266,266,1772216.7,1,1,malicious,,
272,1678367868319206,267,267,1072928.9,1,1,malicious,,
281,1678367868589477,190,190,133597.9,1,1,malicious,,
293,1678367868905092,21,21,1813114.0,1,1,malicious,,
304,1678367869057861,21,21,1726775.2,1,1,malicious,,
350,1678367870008380,266,266,1806297.8,1,1,malicious,,
364,1678367870344735,266,266,790681.3,1,1,malicious,,
389,1678367870828666,21,21,1554097.7,1,1,malicious,,
398,1678367871055091,533,533,1799507.1,1,1,malicious,,
403,1678367871275718,265,265,1806272.1,1,1,malicious,,
412,1678367871434155,266,266,947454.3,1,1,malicious,,
416,1678367871565448,266,266,1785849.1,1,1,malicious,,
425,1678367871877923,266,266,231751.4,1,1,malicious,,
431,1678367872140338,21,21,1467759.0,1,1,malicious,,
441,1678367872317745,78,78,1789868.9,1,1,malicious,,
444,1678367872442239,273,273,1793189.7,1,1,malicious,,
484,1678367873262037,267,267,1813114.0,1,1,malicious,,
493,1678367873424410,268,268,1799583.3,1,1,malicious,,
613,1678367875272858,188,188,1755248.7,1,1,malicious,,
764,1678367878132530,79,79,1813114.0,1,1,malicious,,
785,1678367878966203,93,93,1813114.0,1,1,malicious,,
863,1678367880484680,79,79,1813114.0,1,1,malicious,,
882,1678367880927034,21,21,1554097.7,1,1,malicious,,
888,1678367881053556,78,78,1813114.0,1,1,malicious,,
907,1678367881378113,78,78,1766623.9,1,1,malicious,,
924,1678367881842848,78,78,1789868.9,1,1,malicious,,
995,1678367883959262,94,94,1813114.0,1,1,malicious,,
1114,1678367886836035,42,42,949726.4,1,1,malicious,,
