row_in_window,utc,ts_us,src,dst,sport,dport,proto_l3l4,conn,service,seg_src,seg_dst,ext_src,ext_dst,score,score_minus_cal_max,sec_to_nearest_malicious_flow
1118858,2023-03-09 14:11:58,1678371118618909,100.96.5.5,10.5.1.2,37547,389,0,S1,LDAP,beg_dmz,beg_int,0,0,6.451638,0.402663,0.0
1228373,2023-03-09 14:18:11,1678371491253270,100.96.5.5,10.5.1.2,37520,389,0,OTH,,beg_dmz,beg_int,0,0,6.253628,0.204653,0.0
1405547,2023-03-09 14:28:11,1678372091326826,100.96.5.5,10.5.1.2,37520,389,0,OTH,,beg_dmz,beg_int,0,0,6.254348,0.205373,0.0
1427170,2023-03-09 14:29:30,1678372170582038,100.96.5.5,10.5.1.2,37320,389,0,OTH,,beg_dmz,beg_int,0,0,6.069960,0.020985,0.0
1555131,2023-03-09 14:37:05,1678372625980308,100.96.5.5,10.5.1.3,37407,3268,0,OTH,,beg_dmz,beg_int,0,0,7.313345,1.264370,0.0
1770644,2023-03-09 14:49:30,1678373370709498,100.96.5.5,10.5.1.2,37320,389,0,OTH,,beg_dmz,beg_int,0,0,6.173320,0.124345,0.0
1976857,2023-03-09 15:12:12,1678374732479606,10.5.1.3,100.101.1.32,54057,443,0,SF,TLS,beg_int,,0,1,6.266924,0.217950,0.0
1991429,2023-03-09 15:13:10,1678374790945934,10.5.1.3,100.101.1.32,54093,443,0,SF,TLS,beg_int,,0,1,6.740163,0.691189,0.0
1996752,2023-03-09 15:13:30,1678374810183421,10.5.1.3,100.101.1.32,54103,443,0,SF,TLS,beg_int,,0,1,6.356815,0.307841,0.0
2002188,2023-03-09 15:13:49,1678374829157793,10.5.1.3,100.101.1.32,54117,443,0,SF,TLS,beg_int,,0,1,6.750613,0.701639,0.0
2018804,2023-03-09 15:14:46,1678374886623455,10.5.1.3,100.101.1.32,54148,443,0,SF,TLS,beg_int,,0,1,6.982907,0.933932,0.0
2024563,2023-03-09 15:15:06,1678374906160701,10.5.1.3,100.101.1.32,54164,443,0,SF,TLS,beg_int,,0,1,6.411999,0.363025,0.0
2050952,2023-03-09 15:16:41,1678375001670772,10.5.1.3,100.101.1.32,54216,443,0,SF,TLS,beg_int,,0,1,6.535308,0.486333,0.0
2062059,2023-03-09 15:17:19,1678375039791276,10.5.1.3,100.101.1.32,54237,443,0,SF,TLS,beg_int,,0,1,7.210642,1.161668,0.0
2067734,2023-03-09 15:17:39,1678375059228076,10.5.1.3,100.101.1.32,54245,443,0,SF,TLS,beg_int,,0,1,6.130369,0.081395,0.0
2109058,2023-03-09 15:20:12,1678375212854263,10.5.1.3,100.101.1.32,54337,443,0,SF,TLS,beg_int,,0,1,6.130369,0.081395,0.0
2138588,2023-03-09 15:21:53,1678375313857947,100.96.5.5,10.5.1.2,37352,3268,0,OTH,,beg_dmz,beg_int,0,0,8.394894,2.345920,0.0
2143411,2023-03-09 15:22:09,1678375329299274,10.5.1.3,100.101.1.32,54403,443,0,SF,TLS,beg_int,,0,1,6.961730,0.912756,0.0
2153219,2023-03-09 15:22:47,1678375367345735,10.5.1.3,100.101.1.32,54423,443,0,SF,TLS,beg_int,,0,1,6.405602,0.356628,0.0
2164070,2023-03-09 15:23:26,1678375406703416,10.5.1.3,100.101.1.32,54450,443,0,SF,TLS,beg_int,,0,1,6.063975,0.015001,0.0
2171466,2023-03-09 15:23:46,1678375426066018,10.5.1.3,100.101.1.32,54465,443,0,SF,TLS,beg_int,,0,1,6.589109,0.540134,0.0
2191396,2023-03-09 15:25:03,1678375503978550,10.5.1.3,100.101.1.32,54512,443,0,SF,TLS,beg_int,,0,1,7.004321,0.955347,0.0
2210891,2023-03-09 15:26:12,1678375572665746,10.5.1.3,100.101.1.32,54550,443,0,SF,TLS,beg_int,,0,1,6.442232,0.393258,0.0
2215861,2023-03-09 15:26:32,1678375592281844,10.5.1.3,100.101.1.32,54562,443,0,SF,TLS,beg_int,,0,1,6.225807,0.176833,0.0
2218274,2023-03-09 15:26:41,1678375601572213,10.5.1.3,100.101.1.32,54566,443,0,SF,TLS,beg_int,,0,1,6.617085,0.568110,0.0
2224670,2023-03-09 15:27:06,1678375626463991,100.96.5.5,10.5.1.3,37407,3268,0,OTH,,beg_dmz,beg_int,0,0,6.246933,0.197958,0.0
2226444,2023-03-09 15:27:13,1678375633019522,100.96.5.5,10.5.1.2,37411,3268,0,OTH,,beg_dmz,beg_int,0,0,6.250869,0.201894,0.0
2237226,2023-03-09 15:27:49,1678375669392451,10.5.1.3,100.101.1.32,54605,443,0,SF,TLS,beg_int,,0,1,6.225807,0.176833,0.0
2243087,2023-03-09 15:28:07,1678375687932225,2a07:1182:0005:1001:0000:0000:0000:0004,2a07:1182:0101:0000:0000:0000:0000:0032,52605,443,0,OTH,TLS,baf_int,,0,1,7.056918,1.007943,0.0
2250243,2023-03-09 15:28:36,1678375716308949,10.5.1.3,100.101.1.32,54630,443,0,SF,TLS,beg_int,,0,1,7.287141,1.238166,0.0
2255258,2023-03-09 15:28:54,1678375734958776,10.5.1.3,100.101.1.32,54642,443,0,SF,TLS,beg_int,,0,1,6.967038,0.918064,0.0
2270217,2023-03-09 15:29:43,1678375783745925,10.5.1.3,100.101.1.32,54670,443,0,SF,TLS,beg_int,,0,1,6.225807,0.176833,0.0
2278680,2023-03-09 15:30:13,1678375813139298,10.5.1.3,100.101.1.32,54686,443,0,SF,TLS,beg_int,,0,1,7.004321,0.955347,0.0
2283729,2023-03-09 15:30:32,1678375832277408,10.5.1.3,100.101.1.32,54701,443,0,SF,TLS,beg_int,,0,1,6.535308,0.486333,0.0
2299461,2023-03-09 15:31:29,1678375889090131,10.5.1.3,100.101.1.32,54734,443,0,SF,TLS,beg_int,,0,1,6.379511,0.330537,0.0
